Country,Amount,Date
"Bulgaria","42,855 square miles",2013
"Cuba","42,803 square miles",2013
"Iceland","39,769 square miles",2013
"South Korea","38,345 square miles",2013
"Liberia","38,250 square miles",2013
"Hungary","35,919 square miles",2013
"Portugal","35,655 square miles",2013
"Jordan","34,492 square miles",2013
"Serbia","34,116 square miles",2013
"Azerbaijan","33,400 square miles",2013
"Austria","32,383 square miles",2013
"Czech Republic","30,450 square miles",2013
"United Arab Emirates","30,000 square miles",2013
"Panama","29,157 square miles",2013
"Sierra Leone","27,699 square miles",2013
"Ireland","27,097 square miles",2013
"Georgia","26,911 square miles",2013
"Sri Lanka","25,332 square miles",2013
"Lithuania","25,212 square miles",2013
"Latvia","24,938 square miles",2014
"Togo","21,925 square miles",2013
"Croatia","21,851 square miles",2013
"Costa Rica","19,730 square miles",2013
"Slovakia","18,932 square miles",2013
"Estonia","17,462 square miles",2013
"Denmark","16,640 square miles",2013
"Netherlands","16,164 square miles",2013
"Switzerland","15,940 square miles",2013
"Bhutan","14,812 square miles",2013
"Taiwan","13,972 square miles",2013
"Guinea-Bissau","13,948 square miles",2013
"Moldova","13,050 square miles",2013
"Belgium","11,787 square miles",2013
"Lesotho","11,720 square miles",2013
"Armenia","11,484 square miles",2013
"Equatorial Guinea","10,830 square miles",2013
"Burundi","10,740 square miles",2013
"Haiti","10,714 square miles",2013
"Solomon Islands","10,639 square miles",2013
"Rwanda","10,169 square miles",2013
"Republic of Macedonia","9,928 square miles",2013
"Djibouti","8,950 square miles",2013
"Belize","8,867 square miles",2013
"Israel","8,522 square miles",2013
"El Salvador","8,124 square miles",2013
"Slovenia","7,827 square miles",2013
"New Caledonia","7,172 square miles",2013
"Fiji","7,095 square miles",2013
"Kuwait","6,880 square miles",2013
"Swaziland","6,704 square miles",2013
"East Timor","5,641 square miles",2013
"The Bahamas","5,382 square miles",2013
"Montenegro","5,333 square miles",2013
"Vanuatu","4,707 square miles",2012
"Qatar","4,416 square miles",2013
"Gambia","4,361 square miles",2013
"Jamaica","4,243 square miles",2013
"Lebanon","4,036 square miles",2013
"Cyprus","3,572 square miles",2012
"Puerto Rico","3,459 square miles",2013
"Brunei","2,226 square miles",2013
"Trinidad and Tobago","1,980 square miles",2013
"French Polynesia","1,609 square miles",2013
"Cape Verde","1,557 square miles",2013
"Samoa","1,093 square miles",2013
"Luxembourg","999 square miles",2013
"Mauritius","788 square miles",2013
"Comoros","719 square miles",2013
"Hong Kong","424 square miles",2013
"Sao Tome and Principe","386 square miles",2013
"Kiribati","313 square miles",2013
"Dominica","290 square miles",2013
"Tonga","289 square miles",2013
"Bahrain","277 square miles",2013
"Federated States of Micronesia","270 square miles",2013
"Singapore","255 square miles",2013
"Guam","209 square miles",2013
"Palau","196 square miles",2013
"Seychelles","176 square miles",2013
"Antigua and Barbuda","170 square miles",2013
"Barbados","166 square miles",2013
"Grenada","133 square miles",2013
"Malta","122 square miles",2013
"Saint Kitts and Nevis","104 square miles",2013
"Niue","100 square miles",2013
"Cook Islands","91 square miles",2013
"Marshall Islands","70 square miles",2013
"Liechtenstein","61.8 square miles",2013
"San Marino","23.6 square miles",2013
"Tuvalu","10 square miles",2013
"Macau","9 square miles",2013
"Nauru","8 square miles",2013
"Tokelau","4.7 square miles",2013
"Monaco","0.75 square miles",2013
